query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
казан чугунный с крышкой 6 литров,казан чугунный с крышкой 6 литров,[],[],[],[],"[{'value': 6.0, 'unit': 'L', 'type': 'dimension'}]",[],[],[],[],[],['dishes'],[],2
the last of us 2 remastered,the last of us 2 remastered,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
игра для пар с заданиями 18,игра для пар с заданиями 18,[],[],[],[],[],[],[],[],[],[],['games'],[],1
пуф большой мягкий круглый хххл,пуф большой мягкий круглый хххл,['кресло'],[],[],[],[],[],[],[],[],[],[],[],1
akb75095312,akb75095312,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
био средство для туалета,био средство для туалета,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
маленькая пальма искусственная,маленькая пальма искусственная,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
тор спортивный,тор спортивный,[],[],[],[],[],[],[],[],[],[],['sports'],[],1
гидропароизоляция для пола,гидропароизоляция для пола,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
тест на фосфаты в аквариуме,тест на фосфаты в аквариуме,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
медицинский костюм мужской черный,медицинский костюм мужской черный,['костюм'],[],['черный'],[],[],[],[],[],['men'],[],['clothing'],[],4
invictus мужские,invictus мужские,[],[],[],[],[],[],[],[],['men'],[],['adult'],[],2
чешки для девочки в садик 26,чешки для девочки в садик 26,['чешки'],[],[],[],[],[],[],[],['girls'],[],['footwear'],[],3
моя изабель бюстгальтер большие размеров,моя изабель бюстгальтер большие размеров,['нижнее белье'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
натяжитель полотна третья рука для натяжных потолков,натяжитель полотна третья рука для натяжных потолков,[],[],[],[],[],[],[],[],[],[],['garden'],[],1
сумка женская с длинным ремешком большая,сумка женская с длинным ремешком большая,[],[],[],[],[],[],[],[],['women'],[],['clothing'],[],2
шнурки для вансов дутых,шнурки для вансов дутых,[],[],[],[],[],[],[],[],[],[],['footwear'],[],1
елана украшения,елана украшения,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
датчик движения яндекс алиса,датчик движения яндекс алиса,['датчик'],[],[],[],[],[],[],[],[],[],['auto'],[],2
ферма деревянная для животных,ферма деревянная для животных,[],[],[],[],[],[],[],[],[],[],['footwear'],[],1
коробка для хранения пультов,коробка для хранения пультов,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
bravat душевая система,bravat душевая система,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
комплект плафонов,комплект плафонов,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
москитная сетка на коляску с дугами,москитная сетка на коляску с дугами,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
краска для обуви белая несмываемая,краска для обуви белая несмываемая,['краска'],[],['белый'],[],[],[],[],[],[],[],['footwear'],[],3
игра takes two,игра takes two,[],[],[],[],[],[],[],[],[],[],['games'],[],1
вкладыши для зимних сапог,вкладыши для зимних сапог,[],[],[],[],[],[],[],[],[],[],['furniture'],[],1
матовая пленка на tecno spark 30,матовая пленка на tecno spark 30,['пленка'],[],[],[],[],['tecno'],[],[],[],[],['electronics'],[],3
таб для похудения,таб для похудения,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
чехол на редми нот 11 про прозрачный,чехол на редми нот 11 про прозрачный,['чехол'],[],[],[],[],[],[],[],[],[],['home_decor'],[],2
трековый светильник люстра,трековый светильник люстра,['люстра'],[],[],[],[],[],[],[],[],[],['home_decor'],[],2
футболка с принтом ван гог,футболка с принтом ван гог,['футболка'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
карниз для душа угловой 70 70,карниз для душа угловой 70 70,[],[],[],[],"[{'width': 70, 'height': 70, 'unit': 'cm', 'type': 'textile'}]",[],[],[],[],[],['beauty'],[],2
краска для принтера canon картридж,краска для принтера canon картридж,['краска'],[],[],[],[],['canon'],[],[],[],[],['electronics'],[],3
лапка заводная на скутер,лапка заводная на скутер,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
складной шкаф для кухни,складной шкаф для кухни,['шкаф'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
набор для ухода за бассейном интекс,набор для ухода за бассейном интекс,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
стол садовый круглый,стол садовый круглый,['стол'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
фильтр насос для бассейна каркасного интекс,фильтр насос для бассейна каркасного интекс,['фильтр'],[],[],[],[],[],[],[],[],[],['garden'],[],2
флаг танковые войска большой,флаг танковые войска большой,[],[],[],[],[],[],[],[],[],[],['electronics'],[],1
жидкое стекло на стол 200x60,жидкое стекло на стол 200x60,['защитное стекло'],[],[],[],"[{'length': 200.0, 'width': 60.0, 'unit': 'unknown'}]",[],[],['стекло'],[],[],['furniture'],[],4
beyblade набор 8 штук,beyblade набор 8 штук,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
